"skill_id","skills","demand_skill_count","avg_salary"
0,"sql","398","97237"
181,"excel","256","87288"
1,"python","236","101397"
182,"tableau","230","99288"
5,"r","148","100499"
183,"power bi","110","97431"
7,"sas","63","98902"
186,"sas","63","98902"
196,"powerpoint","58","88701"
185,"looker","49","103795"
188,"word","48","82576"
80,"snowflake","37","112948"
79,"oracle","37","104534"
61,"sql server","35","97786"
74,"azure","34","111225"
76,"aws","32","108317"
192,"sheets","32","86088"
215,"flow","28","97200"
8,"go","27","115320"
199,"spss","24","92170"
22,"vba","24","88783"
97,"hadoop","22","113193"
233,"jira","20","104918"
9,"javascript","20","97587"
195,"sharepoint","18","81634"
